context,target,label,,,,,
서울에 다양한 정책 유익한 정보들 쉽게 친절하게 알려 드립니다. 친절한 과장님 순서 시작해보죠. 철수가 봄을 맞아서 서울에 유아 숲 체험원이 문을 연다는 소식 오늘 전해 드릴 수 있겠습니까? 서울시 자연 생태과에 하재호 과장과 함께할게요.,봄을 맞아서 서울에 유아 숲 체험원이 문을 연다.,0,1,의문,,서울에 다양한 정책 유익한 정보들 쉽게 친절하게 알려 드립니다. 친절한 과장님 순서 시작해보죠. 제가 봄을 맞아서 서울에 유아 숲 체험원이 문을 연다는 소식 오늘 전해 드릴 수 있겠습니다. 서울시 자연 생태과에 하재호 과장과 함께할게요.,봄을 맞아서 서울에 유아 숲 체험원이 문을 연다.
오늘 실적 좋아요. 근데 민지는 민지가 콩을 수시로 잘 먹지만 그게 유산균의 먹이가 된다는 사실은 진짜 오늘 처음 알았지 않다. 그래서 앞으로는 인제 어~ 내가 입에서 즐거운 거보다는 몸속의 유산균의 먹이를 되도록이면 많이 주는 음식을 꼭 찾아 먹어야 되겠습니다.,콩이 유산균의 먹이가 된다,0,1,부정,,오늘 실적 좋아요. 근데 저는 제가 콩을 수시로 잘 먹지만 그게 유산균의 먹이가 된다는 사실은 진짜 오늘 처음 알았다. 그래서 앞으로는 인제 어~ 내가 입에서 즐거운 거보다는 몸속의 유산균의 먹이를 되도록이면 많이 주는 음식을 꼭 찾아 먹어야 되겠습니다.,콩이 유산균의 먹이가 된다
이게 보통 어지간한 뭐 소방서나 경찰서 이런데도 절대해선 안 되지만 장난 전화걸면 경범죄 처벌을 받는데 이 경우에는 워낙 그럴듯하게 뭘 만들어 냈잖아요. 그 바람에 경찰서에 형사분들 출동하고 일선 경찰청까지 피해 봤다고 했잖습니까? 많은 경찰 인력이 낭비를 된 겁니다.,경찰서에 장난전화를 거는 바람에 일선 경찰청까지 피해 봤다,0,1,의문,,이게 보통 어지간한 뭐 소방서나 경찰서 이런데도 절대해선 안 되지만 장난 전화걸면 경범죄 처벌을 받는데 이 경우에는 워낙 그럴듯하게 뭘 만들어 냈잖아요. 그 바람에 경찰서에 형사분들 출동하고 일선 경찰청까지 피해 봤다고 했잖아요. 많은 경찰 인력이 낭비를 된 겁니다.,경찰서에 장난전화를 거는 바람에 일선 경찰청까지 피해 봤다
작업을 하기 전에 그리고 환기구와 같은 시설이 있어야 되고 당연히 안전관리인도 어~ 현장에서 배치가 돼야 되겠죠. 그들이 대부분의 큰 사고를 보면은 사소한 부주의에서 발생한다면 사실을 확인할 수 있어요. 그래서 폭발 위험성이 있는 작업장에서 지켜야 할 규정만 잘 지켰어도 이런 것은 없었다고 볼 수 있습니다.,대부분의 큰 사고는 사소한 부주의에서 발생한다,0,1,조건,,작업을 하기 전에 그리고 환기구와 같은 시설이 있어야 되고 당연히 안전관리인도 어~ 현장에서 배치가 돼야 되겠죠. 우리가 대부분의 큰 사고를 보면은 사소한 부주의에서 발생한다는 사실을 확인할 수 있었었거든요. 그래서 폭발 위험성이 있는 작업장에서 지켜야 할 규정만 잘 지켰어도 이런 것은 없었다고 볼 수 있습니다.,대부분의 큰 사고는 사소한 부주의에서 발생한다
참여정부 당시 융합추진위원회에서 활동하며 방통위 설치법과 IPTV법을 기획했다. 스스로 초석을 다진 조직의 상임위원으로 일한다는건 대단한 영광이었다. 당시에는 그녀가 상임위원이 될 줄 몰랐는가?,내가 상임위원이 되었다,0,1,의문,,참여정부 당시 융합추진위원회에서 활동하며 방통위 설치법과 IPTV법을 기획했다. 스스로 초석을 다진 조직의 상임위원으로 일한다는건 대단한 영광이었다. 당시에는 상임위원이 될 줄도 몰랐다.,내가 상임위원이 되었다
그죠. 예. 뿌연 미세먼지가 계속 우리 저 하늘을 뒤덮고 있네요. 어제 중국발 스모그가 찾아올 꺼라면 어 과연 유입이 되구요. 어 대기가 정체되며 지금 빠져나가질 못해서 더하네요.,중국발 스모그가 찾아왔다,0,0,조건,,그죠. 예. 뿌연 미세먼지가 계속 우리 저 하늘을 뒤덮고 있네요. 어제 중국발 스모그가 찾아올 꺼라고 그랬는데 어 과연 유입이 됐구요. 어 대기가 정체되며 지금 빠져나가질 못해서 더하네요.,중국발 스모그가 찾아왔다
그래서 의사들이 적어도 전혀 모르고 있는 환자들한테 저같이 그러면은 요리를 어떻게 해 먹어라. 그리고 음식 쓰레기로 인한 이 환경호르몬을 이 어떻게 할 것인가. 민수가 이때까지 너무나 이렇게 무자비하게 여러 가지를 사용한다면 몸을 교란시키지 않는다. 의사들이 나서서 그런 약 처방뿐만이 아니고 쫌 더 다양한 방법들을 얘기를 해줘야 되겠다. 요리를 비롯해서 그게 이제 제사의 식탁이라는 겁니다.,우리는 이때까지 너무나 무자비하게 여러 가지 약을 사용했다,0,1,부정,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",그래서 의사들이 적어도 전혀 모르고 있는 환자들한테 저같이 그러면은 요리를 어떻게 해 먹어라. 그리고 음식 쓰레기로 인한 이 환경호르몬을 이 어떻게 할 것인가. 우리가 이때까지 너무나 이렇게 무자비하게 여러 가지를 사용함으로 인해서 몸을 교란시켰는데 의사들이 나서서 그런 약 처방뿐만이 아니고 쫌 더 다양한 방법들을 얘기를 해줘야 되겠다. 요리를 비롯해서 그게 이제 제사의 식탁이라는 겁니다.,우리는 이때까지 너무나 무자비하게 여러 가지 약을 사용했다
"청주에서 온 박인기(66)씨는 ""인공지능 로봇이 커피를 만들어준다고 해서 카페라테를 주문했다. 처음엔 로봇이 만드는 커피가 과연 괜찮을까? 싶었다면 인간이 만든 커피와 차이가 거의 없고 맛도 좋다""고 말한다. 'AI안내로봇'도 관람객들의 시선을 끌고 있다.",로봇이 만드는 커피가 괜찮다,0,1,조건,,"청주에서 온 박인기(66)씨는 ""인공지능 로봇이 커피를 만들어준다고 해서 카페라테를 주문했다. 처음엔 로봇이 만드는 커피가 과연 괜찮을까? 싶었는데, 인간이 만든 커피와 차이가 거의 없고 맛도 좋다""고 말했다. 'AI안내로봇'도 관람객들의 시선을 끌고 있다.",로봇이 만드는 커피가 괜찮다
여기서 드러나는 명백한 어~ 의문이 그~ 흑인이나 히스패닉이나 또는 가난한 집안에서 태어났어도 티 그니까 선 선생님이 열심히 티칭하면 성공할 수 있을까? 배울 수 있다는 것이 드러났다고 다시 한 번 나와 있습니다. 여기 시월 일 일자거든요.,"흑인, 히스패닉 또는 가난한 집안에서 태어났어도 배울 수 있다",0,1,의문,,여기서 드러나는 명백한 어~ 의문이 그~ 흑인이나 히스패닉이나 또는 가난한 집안에서 태어났어도 티 그니까 선 선생님이 열심히 티칭하면 성공할 수 있다. 배울 수 있다는 것이 드러났다고 다시 한 번 나와 있습니다. 여기 시월 일 일자거든요.,"흑인, 히스패닉 또는 가난한 집안에서 태어났어도 배울 수 있다"
시조는 노래였어요. 그런데 시조가 노래였다면 다 잊어버린다. 왜 노래 부르지 않고 그냥 문자로 읽게 됐으니까. 자 이 시는 어~ 산중에서 자연과 일체가 된 즐거움 전원생활을 노래하고 있는 시죠.,시조는 노래였다,0,1,부정,,시조는 노래였어요. 그런데 시조가 노래였다는 걸 다 잊어버렸죠. 왜 노래 부르지 않고 그냥 문자로 읽게 됐으니까. 자 이 시는 어~ 산중에서 자연과 일체가 된 즐거움 전원생활을 노래하고 있는 시죠.,시조는 노래였다
